Dog Number,Dog Name,Inappropriate behavior at home in the presence of people,Inappropriate behavior when left alone,Improper behavior in classes / work,Fear of dogs behind fences,Fear of vehicular traffic while walking down the street,Anxiety about driving inside a car,Fear of dogs without a leash on the street,Fear of stairs,Fear of escalators,Fear of heights,What is the discipline of the dog?,"Responding to the ""To me"" command",Suspicious behavior towards strangers,Making needs while walking,Behavior that is inappropriate with people,Behavior that is inappropriate with dogs,Possessive aggression toward dogs,A desire to chase cats,Noise sensitivity,Sensitivity to walking surfaces,Sensitivity to Dressing Dog-Vest,Difficulty in physical examination,Does the dog exhibit multiple snoring,Having walking troubles,Free text,Entry Date
1,Yossi130,1,3,2,2,2,3,2,1,2,3,1,1,1,2,1,2,2,2,2,2,3,1,3,2,No problems,5/5/2020 11:46
2,Yossi131,1,2,1,2,2,2,3,2,3,3,3,1,2,1,3,2,2,3,3,1,1,1,3,2,No problems,5/5/2020 11:42
3,Yossi132,1,2,3,3,1,2,3,2,2,2,3,2,2,2,2,3,1,3,2,3,3,1,3,3,No problems,4/5/2020 16:17
4,Yossi133,2,2,3,3,2,3,1,3,1,2,2,2,2,3,3,2,1,1,3,2,3,2,2,1,No problems,4/5/2020 16:15
5,Yossi134,3,1,3,2,2,2,1,3,3,3,2,3,1,3,3,2,2,3,3,2,2,2,1,1,No problems,4/5/2020 16:13
6,Yossi135,3,1,3,2,3,2,2,3,3,3,2,1,2,2,1,1,2,3,1,2,1,2,2,2,No problems,4/5/2020 16:11
7,Yossi136,3,1,1,2,1,2,2,2,2,3,1,3,3,3,1,3,2,3,1,2,1,2,1,2,No problems,4/5/2020 16:09
8,Yossi137,2,3,3,3,2,1,2,2,2,1,2,3,3,2,3,2,2,3,2,2,3,2,1,2,No problems,4/5/2020 16:07
9,Yossi138,2,2,3,1,2,2,2,2,2,1,2,1,2,2,1,1,1,2,3,2,2,2,1,2,No problems,4/5/2020 16:05
10,Yossi139,2,1,2,2,2,2,2,1,1,2,3,1,2,1,1,2,2,1,1,2,1,2,2,2,No problems,4/5/2020 16:03
11,Yossi140,1,2,2,2,2,2,2,3,2,2,3,1,3,3,1,2,2,2,2,2,2,2,2,2,No problems,4/5/2020 16:01
12,Yossi141,2,1,3,2,3,1,2,3,1,1,3,3,3,2,2,3,3,2,2,3,2,2,1,3,No problems,4/5/2020 15:59
13,Yossi142,2,2,3,1,1,3,2,1,1,3,1,2,2,2,1,2,1,2,1,2,2,3,3,1,No problems,4/5/2020 15:57
14,Yossi143,3,2,2,2,2,3,3,1,2,2,2,2,3,2,3,1,2,2,2,2,2,1,2,1,No problems,4/5/2020 15:55
15,Yossi144,2,2,3,1,2,2,2,2,1,2,2,3,1,1,2,3,3,2,2,2,1,2,3,3,No problems,4/5/2020 15:53
16,Yossi145,2,2,1,3,2,1,2,3,2,1,3,3,2,2,2,3,2,1,2,1,2,1,3,2,No problems,4/5/2020 15:51
17,Yossi146,3,3,2,3,2,2,1,3,1,2,1,1,2,2,2,1,2,2,1,2,3,2,1,2,No problems,4/5/2020 15:49
18,Yossi147,3,1,2,3,3,3,2,1,2,1,1,2,2,3,2,1,2,2,2,2,3,3,2,2,No problems,4/5/2020 15:47
19,Yossi148,2,2,3,3,3,2,1,1,2,3,3,1,2,3,2,2,3,1,2,3,1,2,2,3,No problems,4/5/2020 15:45
20,Yossi149,2,2,3,2,2,1,1,2,2,2,1,2,2,2,2,2,3,3,3,2,1,2,1,2,No problems,4/5/2020 15:43
21,Yossi150,1,3,3,2,2,1,3,3,2,2,1,3,1,3,2,2,3,2,2,2,3,2,2,2,No problems,4/5/2020 15:41
22,Yossi151,3,1,2,1,2,3,2,2,2,2,1,2,3,1,2,2,2,2,2,1,1,3,2,2,No problems,4/5/2020 15:39
23,Yossi152,1,3,2,2,2,1,2,2,1,1,1,1,3,3,2,2,2,3,1,2,3,1,2,2,No problems,4/5/2020 15:37
24,Yossi153,1,2,1,3,2,2,2,3,2,2,1,3,2,3,2,1,1,1,3,3,2,1,2,1,No problems,4/5/2020 15:35
25,Yossi154,3,1,3,2,3,3,3,1,1,2,2,1,3,2,2,3,2,3,3,3,1,1,2,2,No problems,4/5/2020 15:33
26,Yossi155,2,2,1,3,3,1,3,3,3,3,2,3,3,2,1,1,2,2,1,2,2,1,1,2,No problems,4/5/2020 15:31
27,Yossi156,2,2,1,2,2,1,3,2,2,3,2,1,2,3,3,2,2,2,1,2,2,2,2,2,No problems,4/5/2020 15:29
28,Yossi157,1,1,2,1,1,1,3,2,2,1,3,2,2,2,3,3,1,1,1,2,1,2,3,3,No problems,4/5/2020 15:27
29,Yossi158,2,3,2,2,2,3,2,2,2,1,2,2,3,2,2,1,2,1,1,2,3,3,2,2,No problems,4/5/2020 15:25
30,Yossi159,1,1,1,2,2,2,1,3,2,3,2,3,2,2,1,2,2,2,2,2,1,1,2,3,No problems,4/5/2020 15:23
31,Yossi160,2,2,3,3,1,3,3,1,2,2,1,2,3,2,2,3,3,2,1,2,2,1,2,2,No problems,4/5/2020 15:21
32,Yossi161,3,3,1,3,2,2,3,2,1,2,2,2,2,1,1,2,2,2,3,2,1,1,3,2,No problems,4/5/2020 15:19
33,Yossi162,1,2,2,2,3,3,3,1,2,2,1,2,1,1,2,2,2,2,1,2,2,3,2,3,No problems,4/5/2020 15:17
34,Yossi163,2,2,2,2,3,2,2,2,2,1,3,2,2,1,1,2,2,2,3,3,3,2,2,2,No problems,4/5/2020 15:15
35,Yossi164,2,3,1,2,2,2,1,2,1,3,2,3,2,2,2,2,3,2,1,1,2,2,1,1,No problems,4/5/2020 15:13
36,Yossi165,2,3,2,2,2,3,2,3,1,2,2,1,2,2,2,1,3,2,3,2,2,1,2,2,No problems,4/5/2020 15:11
37,Yossi166,3,1,3,2,2,2,2,3,2,1,1,3,2,2,2,3,1,1,1,2,2,2,1,1,No problems,4/5/2020 15:09
38,Yossi167,1,2,2,3,3,3,2,3,2,3,2,3,2,2,2,2,2,3,2,2,2,1,1,2,No problems,4/5/2020 15:07
39,Yossi168,3,1,1,2,3,3,2,2,1,3,3,2,1,2,3,3,2,1,3,2,2,2,2,1,No problems,4/5/2020 15:05
40,Yossi169,2,1,2,3,2,3,2,1,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,No problems,4/5/2020 15:03
41,Yossi170,3,2,3,3,3,2,2,3,1,2,1,1,3,2,2,1,1,3,1,2,3,2,2,1,No problems,4/5/2020 15:01
42,Yossi171,2,3,2,2,2,2,2,2,1,1,3,1,3,2,3,2,1,2,3,3,1,2,3,2,No problems,4/5/2020 14:59
43,Yossi172,3,2,3,3,2,2,3,3,3,1,2,2,1,3,3,2,2,1,2,2,2,2,2,2,No problems,4/5/2020 14:57
44,Yossi173,2,1,3,2,1,3,2,2,3,2,1,1,3,1,3,2,3,3,2,2,1,3,3,2,No problems,4/5/2020 14:55
45,Yossi174,3,2,2,2,2,1,2,1,3,1,1,2,1,3,2,1,3,1,2,1,2,2,3,2,No problems,4/5/2020 14:53
46,Yossi175,2,2,2,3,3,2,1,3,3,3,2,1,2,2,1,2,2,1,1,3,2,3,2,1,No problems,4/5/2020 14:51
47,Yossi176,2,2,2,3,1,1,2,3,1,1,3,2,1,2,2,3,1,1,2,2,3,2,3,1,No problems,4/5/2020 14:49
48,Yossi177,3,3,3,2,3,2,3,2,3,4,4,3,2,2,3,4,2,3,3,4,2,2,4,2,No problems,4/5/2020 14:47
49,Yossi178,3,2,3,3,4,2,4,4,2,3,2,3,3,3,3,4,3,3,3,4,2,3,4,4,No problems,4/5/2020 14:45
50,Yossi179,2,3,4,3,3,4,3,2,3,3,4,3,2,4,3,3,4,3,2,4,3,2,2,3,No problems,4/5/2020 14:43
