Dog Number,Dog Name,Inappropriate behavior at home in the presence of people,Inappropriate behavior when left alone,Improper behavior in classes / work,Fear of dogs behind fences,Fear of vehicular traffic while walking down the street,Anxiety about driving inside a car,Fear of dogs without a leash on the street,Fear of stairs,Fear of escalators,Fear of heights,What is the discipline of the dog?,"Responding to the ""To me"" command",Behavior that is inappropriate with dogs,Possessive aggression toward dogs,A desire to chase cats,Noise sensitivity,Sensitivity to walking surfaces,Sensitivity to Dressing Dog-Vest,Difficulty in physical examination,Does the dog exhibit multiple snoring,Having walking troubles,Free text,Entry Date
1,Yossi1,2,3,3,4,3,4,2,5,3,2,5,2,3,4,2,3,5,2,4,2,1,No problems,5/5/2020 11:46
2,Yossi2,3,1,5,4,2,2,4,5,4,4,3,2,4,2,2,2,5,5,3,3,3,No problems,5/5/2020 11:42
3,Yossi3,1,3,2,3,2,2,2,5,5,2,4,5,3,4,3,3,4,2,3,2,2,No problems,4/5/2020 16:17
4,Yossi4,2,2,1,2,1,2,3,1,2,2,2,2,2,1,3,2,2,1,1,2,2,No problems,4/5/2020 16:15
5,Yossi5,2,3,3,2,2,2,2,2,2,1,2,2,3,3,1,1,1,1,2,2,2,No problems,4/5/2020 16:13
6,Yossi6,2,3,2,2,2,1,1,2,1,2,3,2,1,2,1,1,1,2,1,2,2,No problems,4/5/2020 16:11
7,Yossi7,1,2,2,3,2,3,3,2,1,2,3,1,2,2,2,2,2,3,2,2,2,No problems,4/5/2020 16:09
8,Yossi8,2,2,2,2,3,2,3,2,2,2,2,2,2,2,3,3,3,3,2,3,2,No problems,4/5/2020 16:07
9,Yossi9,2,2,3,2,3,2,1,2,1,1,2,3,2,3,3,2,2,2,2,1,3,No problems,4/5/2020 16:05
10,Yossi10,1,2,2,3,1,1,2,2,2,2,1,2,2,3,2,1,2,1,2,2,2,No problems,4/5/2020 16:03
11,Yossi11,3,2,1,2,3,1,3,2,3,3,2,1,2,2,1,2,2,1,2,2,1,No problems,4/5/2020 16:01
12,Yossi12,1,3,1,2,1,1,2,3,1,3,1,3,2,2,2,1,2,1,2,3,2,No problems,4/5/2020 15:59
13,Yossi13,3,2,3,1,3,1,2,1,2,3,2,3,3,2,1,2,2,2,2,3,2,No problems,4/5/2020 15:57
